event_id,continent,country,region,latitude,longitude,event_type,depth_km,magnitude,plate_involved_1,plate_involved_2,movement_type,velocity_mm_per_year,impact_summary,source_url,date_observed
EVT20180810_0017,Australia,Turkey,Region_55,27.2195,-115.6612,Transform Fault,468.9,5.8,Indian Plate,Indian Plate,Transform,98.75,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2018-08-10
EVT20180621_0018,Australia,India,Region_10,24.3212,-112.2858,Convergent Zone,661.38,5.1,North American Plate,Pacific Plate,Convergent,15.03,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2018-06-21
EVT20140217_0019,Australia,China,Region_98,12.2835,-72.0405,Rift,13.13,8.4,Arabian Plate,African Plate,Convergent,53.35,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2014-02-17
EVT20070226_0020,Antarctica,Turkey,Region_58,19.6711,67.7582,Subduction Zone,490.39,8.7,Eurasian Plate,Indian Plate,Convergent,71.27,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2007-02-26
EVT20011229_0021,Africa,Indonesia,Region_35,56.1726,-168.6565,Convergent Zone,144.37,4.3,Pacific Plate,Indian Plate,Divergent,88.7,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2001-12-29
EVT20030607_0022,Europe,Ethiopia,Region_34,-70.9899,32.4656,Rift,441.95,9.0,North American Plate,Pacific Plate,Divergent,68.29,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2003-06-07
EVT20061027_0023,Antarctica,China,Region_97,-67.6047,-145.8339,Delamination,272.89,5.9,Pacific Plate,African Plate,Convergent,87.8,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2006-10-27
EVT20120701_0024,Europe,Indonesia,Region_53,16.1917,-97.8837,Delamination,329.94,6.7,Indian Plate,North American Plate,Divergent,58.53,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2012-07-01
EVT20080121_0025,Antarctica,China,Region_24,8.9752,138.3005,Transform Fault,343.11,5.2,Pacific Plate,North American Plate,Convergent,99.92,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2008-01-21
EVT20230530_0026,Asia,India,Region_78,37.335,110.0369,Rift,343.3,8.0,Indian Plate,Arabian Plate,Transform,19.25,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2023-05-30
EVT20110219_0027,Asia,USA,Region_71,56.2648,96.1465,Convergent Zone,109.09,6.4,Indian Plate,Indian Plate,Divergent,69.12,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2011-02-19
EVT20061019_0028,Australia,Indonesia,Region_20,59.8415,119.8068,Rift,602.17,5.0,Indian Plate,African Plate,Convergent,95.86,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2006-10-19
EVT20140531_0029,South America,Turkey,Region_58,26.8529,110.6471,Delamination,284.52,7.0,Indian Plate,Indian Plate,Convergent,74.12,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2014-05-31
EVT20081016_0030,South America,Turkey,Region_6,0.2583,-62.578,Transform Fault,190.83,7.7,Eurasian Plate,Indian Plate,Transform,52.78,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2008-10-16
EVT20151123_0031,Australia,USA,Region_95,51.0273,-161.8075,Transform Fault,282.42,6.6,Indian Plate,Pacific Plate,Convergent,65.96,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2015-11-23
EVT20060404_0032,North America,Chile,Region_44,-87.3803,-50.0375,Convergent Zone,553.12,4.6,Arabian Plate,African Plate,Convergent,7.27,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2006-04-04
EVT20190402_0033,Africa,Ethiopia,Region_91,-7.1853,-7.0969,Convergent Zone,470.32,7.4,North American Plate,African Plate,Convergent,31.77,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2019-04-02
EVT20030510_0034,Europe,Turkey,Region_77,-7.1562,102.8085,Delamination,414.34,4.5,African Plate,African Plate,Convergent,57.15,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2003-05-10
EVT20200804_0035,Australia,Chile,Region_8,-62.3303,-68.4629,Subduction Zone,534.39,9.4,Eurasian Plate,Arabian Plate,Transform,94.95,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2020-08-04
EVT20220513_0036,Australia,USA,Region_13,-83.4277,-128.3572,Transform Fault,100.69,4.2,North American Plate,Pacific Plate,Convergent,80.38,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2022-05-13
EVT20120926_0037,Antarctica,Indonesia,Region_75,-15.0958,96.7916,Transform Fault,434.44,5.0,Eurasian Plate,Indian Plate,Transform,68.87,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2012-09-26
EVT20030207_0038,South America,Turkey,Region_49,68.015,-27.2288,Transform Fault,269.19,6.7,Pacific Plate,Eurasian Plate,Convergent,70.05,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2003-02-07
EVT20000229_0039,Europe,Chile,Region_80,9.7523,-137.2243,Delamination,178.47,4.1,Pacific Plate,Pacific Plate,Divergent,86.88,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2000-02-29
EVT20100331_0040,Australia,Indonesia,Region_12,-21.6552,-26.4939,Subduction Zone,305.62,9.2,Arabian Plate,Pacific Plate,Transform,88.31,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2010-03-31
EVT20180921_0041,Europe,Turkey,Region_51,70.131,71.7612,Rift,565.4,4.8,Indian Plate,African Plate,Transform,94.15,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2018-09-21
EVT20071221_0042,South America,USA,Region_31,-70.9444,11.9839,Transform Fault,319.36,7.9,Pacific Plate,Pacific Plate,Convergent,38.25,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2007-12-21
EVT20130813_0043,Europe,Japan,Region_46,-31.6091,-178.3911,Rift,669.79,4.4,Pacific Plate,Eurasian Plate,Convergent,73.87,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2013-08-13
EVT20000128_0044,Asia,India,Region_35,89.13,-93.2608,Delamination,134.71,5.6,North American Plate,Eurasian Plate,Convergent,31.54,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2000-01-28
EVT20050316_0045,Australia,Chile,Region_37,29.9467,131.3272,Convergent Zone,18.65,5.3,Eurasian Plate,Arabian Plate,Transform,63.56,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2005-03-16
EVT20120829_0046,South America,China,Region_52,-86.7783,58.5604,Subduction Zone,104.56,6.4,Pacific Plate,African Plate,Divergent,45.08,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2012-08-29
EVT20101228_0047,North America,China,Region_15,-0.3514,75.4098,Delamination,682.11,5.8,Arabian Plate,Indian Plate,Convergent,24.69,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2010-12-28
EVT20060326_0048,Africa,Turkey,Region_89,4.1407,-46.928,Delamination,608.49,5.9,North American Plate,Eurasian Plate,Divergent,23.21,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2006-03-26
EVT20110521_0049,Australia,USA,Region_87,55.8528,142.7225,Transform Fault,358.78,7.8,Pacific Plate,African Plate,Convergent,51.59,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2011-05-21
EVT20100811_0050,Asia,USA,Region_52,-46.1634,44.0822,Convergent Zone,154.71,8.6,North American Plate,Indian Plate,Convergent,63.71,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2010-08-11
EVT20070519_0051,Asia,China,Region_44,-71.0438,-143.71,Convergent Zone,282.14,6.9,North American Plate,Arabian Plate,Divergent,59.45,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2007-05-19
EVT20070128_0052,South America,USA,Region_12,66.5052,-107.131,Rift,527.62,9.2,African Plate,Indian Plate,Convergent,24.55,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2007-01-28
EVT20130226_0053,Australia,Turkey,Region_46,-41.6234,93.3226,Subduction Zone,481.52,9.3,Eurasian Plate,North American Plate,Divergent,10.89,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2013-02-26
EVT20190625_0054,Antarctica,India,Region_54,-69.1824,-154.7632,Convergent Zone,47.68,7.4,Indian Plate,African Plate,Transform,6.58,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2019-06-25
EVT20130824_0055,South America,Japan,Region_14,62.437,117.5887,Transform Fault,349.76,9.3,Eurasian Plate,Indian Plate,Convergent,24.15,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2013-08-24
EVT20231220_0056,Australia,USA,Region_87,-42.9371,-49.5502,Delamination,47.77,7.8,North American Plate,African Plate,Convergent,33.49,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2023-12-20
EVT20220418_0057,Africa,USA,Region_77,15.3795,17.9693,Transform Fault,386.19,8.0,African Plate,Eurasian Plate,Transform,33.7,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2022-04-18
EVT20210922_0058,Asia,Chile,Region_4,18.2041,60.5373,Rift,22.65,5.1,Indian Plate,North American Plate,Convergent,10.37,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2021-09-22
EVT20220405_0059,Antarctica,USA,Region_22,-83.3523,130.6198,Convergent Zone,393.55,8.0,North American Plate,Pacific Plate,Transform,46.0,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2022-04-05
EVT20010529_0060,North America,India,Region_36,74.6474,-23.1935,Rift,57.23,5.6,Eurasian Plate,Indian Plate,Transform,32.56,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2001-05-29
EVT20210601_0061,Australia,China,Region_56,-89.8914,33.7152,Transform Fault,517.52,5.9,Pacific Plate,African Plate,Transform,55.56,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2021-06-01
EVT20050330_0062,Asia,Japan,Region_1,64.8617,104.0162,Transform Fault,664.86,6.4,African Plate,Eurasian Plate,Divergent,96.5,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2005-03-30
EVT20011222_0063,Australia,Indonesia,Region_40,-44.4936,48.8683,Rift,177.45,4.9,Indian Plate,Indian Plate,Divergent,47.29,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2001-12-22
EVT20050303_0064,Africa,Turkey,Region_58,17.1114,58.3593,Subduction Zone,553.4,4.2,North American Plate,Pacific Plate,Transform,92.16,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2005-03-03
EVT20240424_0065,South America,Turkey,Region_79,86.6122,-101.3707,Subduction Zone,541.53,7.7,North American Plate,North American Plate,Convergent,72.66,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2024-04-24
EVT20161115_0066,Europe,Japan,Region_81,-26.7885,141.7388,Convergent Zone,185.7,9.0,Eurasian Plate,Arabian Plate,Transform,64.27,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2016-11-15
EVT20210503_0067,North America,USA,Region_84,64.0606,33.3642,Subduction Zone,199.9,4.5,Pacific Plate,African Plate,Convergent,23.03,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2021-05-03
EVT20220509_0068,South America,India,Region_13,-42.1816,-157.4526,Convergent Zone,230.59,4.2,Arabian Plate,African Plate,Transform,73.23,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2022-05-09
EVT20201017_0069,Asia,Chile,Region_25,51.7562,5.5857,Subduction Zone,460.1,7.8,Pacific Plate,Arabian Plate,Divergent,48.71,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2020-10-17
EVT20140131_0070,South America,Japan,Region_69,-4.3327,50.921,Rift,241.08,5.7,Eurasian Plate,North American Plate,Convergent,62.66,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2014-01-31
EVT20210609_0071,North America,Chile,Region_27,54.894,155.3133,Transform Fault,137.49,8.1,Eurasian Plate,North American Plate,Divergent,26.61,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2021-06-09
EVT20000323_0072,Asia,Japan,Region_50,58.5017,107.3892,Transform Fault,672.83,8.8,Pacific Plate,Indian Plate,Convergent,37.45,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2000-03-23
EVT20110409_0073,Asia,China,Region_17,-85.6515,120.5466,Convergent Zone,395.08,9.5,Arabian Plate,Pacific Plate,Divergent,23.2,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2011-04-09
EVT20150218_0074,Europe,India,Region_36,58.5437,113.8494,Subduction Zone,393.03,5.1,Eurasian Plate,Pacific Plate,Transform,22.0,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2015-02-18
EVT20200305_0075,Europe,Chile,Region_86,-18.2381,-141.2127,Delamination,474.35,9.0,Arabian Plate,Indian Plate,Transform,80.58,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2020-03-05
EVT20120614_0076,Europe,Ethiopia,Region_22,-12.8826,105.4238,Subduction Zone,547.54,4.8,North American Plate,North American Plate,Convergent,47.04,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2012-06-14
EVT20120825_0077,South America,India,Region_21,28.5153,26.523,Rift,514.93,6.9,North American Plate,North American Plate,Convergent,79.96,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2012-08-25
EVT20190224_0078,Australia,Turkey,Region_62,-64.0501,-88.3679,Transform Fault,151.18,6.7,North American Plate,North American Plate,Transform,28.21,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2019-02-24
EVT20040905_0079,Australia,Japan,Region_66,53.873,165.6945,Subduction Zone,472.99,6.8,Indian Plate,North American Plate,Convergent,54.19,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2004-09-05
EVT20201127_0080,South America,Turkey,Region_15,11.2424,-41.6737,Transform Fault,218.31,9.2,African Plate,Arabian Plate,Divergent,46.64,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2020-11-27
EVT20210802_0081,South America,Ethiopia,Region_20,12.6021,-57.6083,Rift,663.71,7.0,Pacific Plate,African Plate,Transform,5.23,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2021-08-02
EVT20051122_0082,South America,Japan,Region_67,-80.8136,102.3675,Rift,117.07,6.0,North American Plate,Arabian Plate,Convergent,30.23,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2005-11-22
EVT20210509_0083,Africa,India,Region_31,20.5024,69.0706,Convergent Zone,518.67,8.6,Arabian Plate,Indian Plate,Transform,83.22,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2021-05-09
EVT20211209_0084,Australia,USA,Region_99,83.0688,81.5925,Subduction Zone,65.82,4.2,North American Plate,North American Plate,Divergent,31.15,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2021-12-09
EVT20240425_0085,Europe,Indonesia,Region_28,-86.4946,150.7152,Rift,209.11,4.1,Pacific Plate,North American Plate,Transform,71.11,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2024-04-25
EVT20071205_0086,Africa,Turkey,Region_19,89.9974,18.9788,Delamination,647.86,6.3,Eurasian Plate,African Plate,Convergent,27.52,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2007-12-05
EVT20040329_0087,North America,India,Region_21,-11.7462,49.9776,Subduction Zone,520.92,9.4,African Plate,Pacific Plate,Divergent,36.08,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2004-03-29
EVT20220605_0088,Europe,Turkey,Region_52,7.7108,-60.8953,Rift,215.19,7.1,Eurasian Plate,Indian Plate,Divergent,82.85,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2022-06-05
EVT20001009_0089,Australia,Turkey,Region_60,53.1278,126.5263,Rift,455.05,4.5,Indian Plate,Pacific Plate,Divergent,94.02,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2000-10-09
EVT20020418_0090,Asia,Indonesia,Region_50,-50.5064,-54.5523,Convergent Zone,56.98,7.8,Eurasian Plate,Indian Plate,Convergent,88.23,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2002-04-18
EVT20210704_0091,Australia,Turkey,Region_29,-59.5872,-139.4104,Subduction Zone,361.4,6.2,Indian Plate,Pacific Plate,Convergent,16.13,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2021-07-04
EVT20120204_0092,Asia,Indonesia,Region_89,84.4362,115.9128,Rift,510.34,6.4,Eurasian Plate,North American Plate,Divergent,7.88,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2012-02-04
EVT20220630_0093,Antarctica,Indonesia,Region_77,14.551,16.6648,Delamination,279.32,6.6,Pacific Plate,North American Plate,Transform,25.86,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2022-06-30
EVT20160421_0094,Europe,Chile,Region_34,65.9112,-72.7394,Rift,388.47,7.4,Pacific Plate,Indian Plate,Convergent,76.53,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2016-04-21
EVT20030109_0095,Africa,Japan,Region_96,9.4069,41.8127,Delamination,248.17,4.6,North American Plate,Arabian Plate,Convergent,12.97,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2003-01-09
EVT20071017_0096,North America,Ethiopia,Region_12,39.2175,159.2581,Rift,34.68,7.5,Pacific Plate,North American Plate,Convergent,75.32,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2007-10-17
EVT20190920_0097,Australia,Japan,Region_99,-12.8957,164.237,Rift,194.33,4.3,Eurasian Plate,Eurasian Plate,Convergent,50.27,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2019-09-20
EVT20141006_0098,Africa,India,Region_10,-47.8704,48.1637,Subduction Zone,136.5,4.3,Pacific Plate,African Plate,Convergent,19.43,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2014-10-06
EVT20230531_0099,Asia,Chile,Region_46,33.7004,-75.7162,Rift,140.32,6.1,Indian Plate,Indian Plate,Divergent,88.82,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2023-05-31
EVT20160706_0100,Europe,USA,Region_56,-33.5907,-16.4558,Subduction Zone,476.19,6.1,North American Plate,African Plate,Transform,89.45,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2016-07-06
EVT20210825_0101,Antarctica,India,Region_21,-50.5708,71.4116,Delamination,693.23,9.4,Indian Plate,African Plate,Transform,68.85,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2021-08-25
EVT20081126_0102,Europe,Turkey,Region_11,69.4113,-168.5079,Delamination,490.14,6.6,Indian Plate,Indian Plate,Transform,56.32,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2008-11-26
EVT20231007_0103,Europe,India,Region_61,-35.5855,-104.9186,Delamination,199.21,8.7,Indian Plate,Eurasian Plate,Divergent,10.3,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2023-10-07
EVT20190621_0104,Australia,Ethiopia,Region_25,-55.458,-124.1252,Rift,120.67,4.4,African Plate,African Plate,Transform,29.95,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2019-06-21
EVT20211229_0105,Africa,Ethiopia,Region_84,-34.3525,-59.8201,Subduction Zone,227.98,5.3,Eurasian Plate,Indian Plate,Transform,71.18,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2021-12-29
EVT20170731_0106,North America,USA,Region_70,42.3465,-151.2213,Convergent Zone,66.93,8.7,Pacific Plate,North American Plate,Convergent,55.9,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2017-07-31
EVT20001029_0107,South America,Turkey,Region_10,-84.7209,-86.2339,Rift,8.27,8.8,Indian Plate,Pacific Plate,Convergent,90.47,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2000-10-29
EVT20171217_0108,Europe,India,Region_42,74.8536,-2.9574,Delamination,5.17,8.0,Arabian Plate,North American Plate,Divergent,84.94,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2017-12-17
EVT20050531_0109,Europe,Turkey,Region_18,-50.1889,174.1167,Subduction Zone,91.05,9.0,Arabian Plate,Indian Plate,Transform,54.01,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2005-05-31
EVT20120329_0110,Europe,Indonesia,Region_76,-20.7865,61.9736,Subduction Zone,319.76,7.6,Arabian Plate,Indian Plate,Convergent,99.05,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2012-03-29
EVT20170814_0111,North America,Japan,Region_42,33.4614,-1.8752,Subduction Zone,500.25,8.3,Arabian Plate,North American Plate,Convergent,31.69,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2017-08-14
EVT20000821_0112,North America,India,Region_4,-1.1382,-152.2125,Convergent Zone,82.28,8.4,African Plate,Pacific Plate,Divergent,66.89,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2000-08-21
EVT20190731_0113,Europe,Ethiopia,Region_87,64.6277,70.3741,Rift,154.54,6.9,Arabian Plate,Eurasian Plate,Divergent,81.41,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2019-07-31
EVT20030604_0114,South America,Turkey,Region_47,-77.9632,117.1798,Transform Fault,235.22,8.7,Indian Plate,African Plate,Transform,21.27,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2003-06-04
EVT20040131_0115,Europe,China,Region_14,17.5582,-14.215,Convergent Zone,389.05,6.7,Indian Plate,North American Plate,Divergent,11.51,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2004-01-31
EVT20001220_0116,South America,Japan,Region_13,78.7568,-12.7252,Transform Fault,689.62,8.8,Eurasian Plate,North American Plate,Divergent,8.43,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2000-12-20
EVT20050706_0117,North America,Chile,Region_17,-64.7709,-147.7178,Subduction Zone,506.08,9.2,Arabian Plate,North American Plate,Divergent,69.3,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2005-07-06
EVT20221220_0118,South America,Japan,Region_100,63.4207,152.5052,Rift,590.11,4.6,Arabian Plate,North American Plate,Transform,21.05,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2022-12-20
EVT20100514_0119,Europe,Indonesia,Region_84,46.8279,92.102,Rift,37.37,5.4,North American Plate,Eurasian Plate,Transform,58.14,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2010-05-14
EVT20180628_0120,South America,Ethiopia,Region_26,-34.5298,158.5219,Convergent Zone,394.15,9.2,North American Plate,Arabian Plate,Divergent,63.63,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2018-06-28
EVT20180811_0121,Australia,Japan,Region_44,-72.1612,101.9821,Transform Fault,51.97,6.7,Pacific Plate,Indian Plate,Divergent,82.66,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2018-08-11
EVT20060107_0122,Australia,Turkey,Region_80,-25.5254,-38.9964,Delamination,65.36,6.4,Indian Plate,Eurasian Plate,Transform,64.16,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2006-01-07
EVT20210220_0123,Asia,Ethiopia,Region_82,-2.096,-89.7988,Transform Fault,86.86,4.1,African Plate,African Plate,Convergent,51.49,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2021-02-20
EVT20051118_0124,Antarctica,Japan,Region_31,-57.6369,-43.1224,Convergent Zone,158.1,7.8,Arabian Plate,Indian Plate,Convergent,96.75,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2005-11-18
EVT20001127_0125,North America,China,Region_74,-29.6038,-37.2936,Subduction Zone,636.76,9.3,African Plate,Arabian Plate,Convergent,35.56,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2000-11-27
EVT20020710_0126,Antarctica,India,Region_66,80.2025,77.2994,Subduction Zone,416.58,6.1,North American Plate,Indian Plate,Transform,29.86,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2002-07-10
EVT20170130_0127,Asia,Japan,Region_97,55.2464,25.6898,Convergent Zone,508.25,4.7,African Plate,North American Plate,Convergent,93.02,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2017-01-30
EVT20000419_0128,South America,India,Region_50,-40.9058,87.1928,Delamination,381.18,8.5,Indian Plate,Pacific Plate,Convergent,72.42,Geological activity noted with regional uplift and seismic risk.,https://example.com/research,2000-04-19
